;;;;;;;;;;;;;;;;;;;;;;;;;;;ZSCM015;ZSCM015;ZSCM015;ZSCM104;ZSCM104;ZSCM104;;0;Customer FCST;Customer FCST;Customer FCST;;;;;;;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06;2026-07;;;;;;;;;;
304 / 304L;1.4301;0.3;;-0.025;0.025;N7287A;-0.1;0.2;175;Slit;SKP/TL;Y;MODINE HUNGARIA KFT;MODINE HUNGARIA KFT;Y;;;16173;10051;10242;10039;10346;0;9000;18000;0;0;0;0;;;;#REF!;0;;;;;18;;;;;0;0;0;0;0;0;0;0;18;0;;;x;;;;Dejan;Sophia
304 / 304L;1.4301;0.3;;-0.017;0.017;N9809;-5;5;625;Slit;SKP/TL;N;0;Piattine E Profili Inox S.R.L.;Y;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;X;;;;;Sophie;Sergius
;1.4301;0.3;;;;;;;;;;;0;;;;;121682;70243;73463;98505;60400;79108;17000;86000;38000;0;0;0;;;;;0;;;;;72;0;0;36;0;0;72;0;0;0;0;0;36;0;74.09;33.91;;;;;;;
304 / 304L;1.4301;0.3;N16218;-0.022;0.01;N16218;0;0.3;98;Slit;TL;Y;0;Heatex Sp.Z.o.o;Y;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;X;;;;;Sophie;Erika
304 / 304L;1.4301;0.3;;-0.022;0.01;N16218;0;0.3;98;Slit;TL;Y;0;SMART-HP Sp. z.o.o;Y;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;X;;;;;Sophie;Lucie
;1.4301;0.3;;;;;;;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
304 / 304L;1.4301;0.3;N3922B;-0.02;0.012;N3922B;-40;20;1270;Mill;SKP/TL;N;Norder Band AG;Norder Band AG.;Y;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;18;0;0;0;0;0;0;0;-18;19.87;-1.87;;X;;X;EU;Sophie ;Margarita
304 / 304L;1.4307;0.3;N16122;-0.02;0.012;N16122;-40;20;1270;Mill;SKP/TL;N;Norder Band AG;Norder Band AG.;Y;;;0;0;19005;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;18;18;;;;0;0;0;36;0;0;0;0;0;35.32;0.68;;X ;;X;EU;Sophie ;Margarita
304 / 304L;1.4301;0.3;N7920;-0.04;0;N5255;-0.3;0;164;Slit;SKP/TL;Y;Funke Waermeaustauscher;Funke Waermeaustauscher;N;;N6443;0;0;5649;0;0;6000;4000;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;x;;;EU;Dejan;Pano
304 / 304L;1.4301;0.3;;-0.04;0;N6443;-0.3;0;108;Slit;SKP/TL;Y;Funke Waermeaustauscher;Funke Waermeaustauscher;N;;N5255;0;0;0;0;0;0;3500;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;x;;;EU;Dejan;Pano
