SDG S/O Number;Ncode;Customer PO No.;Otx Item;Surface;Grade;Thickness;Width;Material;Description;     Order Qty;In Production Qty;   Produced Qty;    In Transit;Transfered Qty;Final Qty;Production Balance;Warehouse STOCK Qty;RequestDeliveryDate;OTX Sales Order;Status Description;;
APC_JAN_Prep;N10239;Alfa Laval Technologies AB;20;2B;1.4301;0.25;125;542ATY025NA0012;CRC/Slit 1.4301 2B 0.25x125mm;18;0;-15.12;15.12;0;0;-18;11.129;46752;32086875;;;
APC_JAN_Prep;N1469;Klaus Bayer;30;2B;1.4301;0.3;400;542ATY030NA0006;CRC/Slit 1.4301 2B 0.30x400mm;72;0;0;74.09;0;0;-72;18.811;46752;32086875;;;
APC_JAN_Prep;N13597;Bernecker Rollforming & Tubes;40;2B;1.4301;0.37;37;542ATY040NA0133;CRC/Slit 1.4301 2B 0.37x37mm;18;0;-18.28;18.28;0;0;-18;6.498;46752;32086875;;;
APC_JAN_Prep;N3455C;ESG EDELSTAHL;50;2B;1.4301;0.5;565;542ATY050NA0068;CRC/Slit 1.4301 2B 0.50x565mm;54;0;0;51.25;0;0;-54;29.234;46752;32086875;;;
APC_JAN_Prep;N3465;MODINEHUNGARIA;60;2B;1.4301;0.5;232;542ATY050NA0070;CRC/Slit 1.4301 2B 0.50x232mm;18;0;-17.6;17.6;0;0;-18;7.12;46752;32086875;;;
APC_JAN_Prep;N6804;Schoeller Werk;70;2B;1.4307;0.5;49.9;542ATV050NA0010;CRC/Slit 1.4307 2B 0.50x49.9mm;18;0;-18.6;18.6;0;0;-18;0;46752;32086875;;;
APC_JAN_Prep;N5399;Danfoss A/S;80;2B;1.4301;0.5;660;542ATY050NA0101;CRC/Slit 1.4301 2B 0.5x660mm;126;0;-228.28;170.59;0;0;-126;2.555;46752;32086875;;;
APC_JAN_Prep;N7239A;Alfa Laval Technologies AB;90;2B;1.4301;0.583;500;542ATY060NA0073;CRC/Slit 1.4301 2B 0.583x500mm;18;0;-18.18;18.18;0;0;-18;0;46752;32086875;;;
APC_JAN_Prep;N0240;Swep International AB;100;2B;1.4404;0.3;82;542ATL030NA0001;CRC/Slit 1.4404 2B 0.30x82mm;126;0;0;136.12;0;0;-126;47.216;46752;32086875;;;
APC_JAN_Prep;N5824C;Norder Band AG;110;2B;1.4404;0.3;1270;542AML0303A0005;CRC/Mill 1.4404 2B 0.30x1270mm;72;0;-73.88;73.88;0;0;-72;0;46752;32086875;;;
APC_JAN_Prep;N3423;Kelvion;120;2B;1.4404;0.3;102;542ATL030NA0024;CRC/Slit 1.4404 2B 0.30x102mm;18;0;-19.12;19.12;0;0;-18;4.044;46752;32086875;;;
APC_JAN_Prep;N7947;Kelvion;130;2B;1.4404;0.35;136;542ATL035NA0007;CRC/Slit 1.4404 2B 0.35x136mm;18;0;-19.4;19.4;0;0;-18;0;46752;32086875;;;
APC_JAN_Prep;N0391;Swep International AB;140;2B;1.4404;0.35;312.5;542ATL035NA0003;CRC/Slit 1.4404 2B 0.35x312.5mm;324;0;0;323.81;0;0;-324;78.312;46752;32086875;;;
APC_JAN_Prep;;;;;;;;;;    1.026.000;0;-557.11;    1.084.690;0;0;-1.026.000;265.993;;;;;
APC_JULY_Prep;N14665;ITALINOX S.R.O.;10;2B;1.4307;0.25;33;542ATV025NA0012;CRC/Slit 1.4307 2B 0.25x33mm;18;0;-12.06;12.06;0;0;-18;0;46752;32090482;;;
APC_JULY_Prep;N3465;MODINE HUNGARIA KFT;20;2B;1.4301;0.5;232;542ATY050NA0070;CRC/Slit 1.4301 2B 0.50x232mm;36;0;-37.87;37.87;0;0;-36;7.12;46752;32090482;;;
APC_JULY_Prep;N16447;Danfoss SRL;30;2B;1.4307;0.5;872;542ATV050NA0071;CRC/SLIT 1.4307 2B 0.5X872MM;18;0;-19.1;19.1;0;0;-18;0;46752;32090482;;;
APC_JULY_Prep;N6356;Swep International AB;40;2B;1.4307;1;82;542ATV100NA0002;CRC/Slit 1.4307 2B 1.00x82mm;18;0;-19.2;19.2;0;0;-18;13.113;46752;32090482;;;
APC_JULY_Prep;N8967A;Lemvigh-Mueller A/S;50;2B;1.4828;0.3;1250;542ATB0303A0001;CRC/Slit 1.4828 2B 0.30x1250mm;18;0;-18.73;18.73;0;0;-18;0;46752;32090482;;;
APC_JULY_Prep;N16677;Damstahl a/s;60;2B;1.4828;0.4;1000;542ATB0401A0001;CRC/Slit 1.4828 2B 0.40x1000mm;72;0;-75.32;75.32;0;0;-72;3.476;46752;32090482;;;
